plan,monthlyPrice,tenureMonths,outages,complaints,supportCalls,latePayments,competitorAvailable,monthlyContract,speedMbps,churn
Premium,1499,21,2,1,6,5,1,0,500,0
Plus,999,57,2,4,8,6,0,1,200,0
Basic,699,32,6,2,7,0,0,0,100,1
Premium,1499,56,5,1,0,6,1,1,500,1
Premium,1499,56,0,0,6,4,1,1,500,0
Basic,699,4,9,7,6,0,1,1,100,1
Plus,999,48,3,6,8,1,1,1,200,1
Ultra,2499,57,3,4,7,3,1,0,1000,0
Premium,1499,35,4,4,5,4,0,0,500,0
Premium,1499,54,7,6,1,0,0,1,500,1
Ultra,2499,9,6,0,2,4,0,1,1000,1
Plus,999,39,8,7,2,6,0,0,200,1
Plus,999,11,8,2,8,2,0,1,200,1
Ultra,2499,25,0,8,4,5,0,1,1000,1
Basic,699,10,0,2,0,5,1,1,100,0
Basic,699,13,2,6,1,4,0,0,100,1
Plus,999,44,3,8,3,6,1,0,200,1
Premium,1499,29,5,2,5,6,1,1,500,1
Ultra,2499,32,5,7,4,3,1,1,1000,1
Basic,699,49,2,6,5,4,0,0,100,1
Plus,999,55,1,0,7,2,1,0,200,0
Basic,699,50,1,1,8,0,1,0,100,0
Ultra,2499,24,10,3,4,0,0,1,1000,1
Plus,999,33,4,3,1,0,1,0,200,0
Ultra,2499,39,1,0,5,5,0,1,1000,0
Basic,699,41,3,0,6,5,1,0,100,0
Plus,999,3,9,1,6,2,1,0,200,1
Ultra,2499,12,3,5,7,0,0,0,1000,1
Premium,1499,55,8,1,2,1,0,1,500,1
Premium,1499,58,4,5,4,2,0,0,500,1
Premium,1499,22,1,6,8,5,0,0,500,1
Premium,1499,14,7,6,4,2,0,0,500,1
Basic,699,1,5,5,6,4,0,1,100,1
Basic,699,10,5,8,1,1,1,0,100,1
Ultra,2499,50,1,4,7,0,0,0,1000,0
Premium,1499,37,0,1,0,0,1,1,500,0
Premium,1499,47,9,6,2,3,0,0,500,1
Basic,699,29,6,2,7,5,0,0,100,1
Ultra,2499,5,6,6,6,4,1,1,1000,1
Premium,1499,3,8,7,0,5,0,1,500,1
Ultra,2499,14,1,4,0,0,0,1,1000,0
Ultra,2499,21,4,4,8,6,0,1,1000,0
Basic,699,4,4,3,8,3,0,1,100,0
Premium,1499,31,9,5,6,4,1,0,500,1
Plus,999,56,0,5,0,5,1,0,200,1
Ultra,2499,19,10,8,4,2,1,1,1000,1
Basic,699,21,1,8,5,1,1,0,100,1
Plus,999,34,4,7,6,1,0,1,200,1
Plus,999,59,1,0,6,5,0,0,200,0
Premium,1499,25,4,5,5,4,0,1,500,1
Plus,999,12,4,5,4,5,0,0,200,1
Ultra,2499,28,2,8,5,1,1,0,1000,1
Ultra,2499,3,9,0,8,3,0,0,1000,1
Premium,1499,38,2,4,6,3,1,0,500,0
Ultra,2499,47,6,2,6,1,1,0,1000,1
Plus,999,44,10,3,8,0,0,1,200,1
Basic,699,19,6,6,7,2,0,0,100,1
Ultra,2499,38,4,1,7,3,0,0,1000,0
Premium,1499,10,0,7,8,6,0,0,500,1
Plus,999,10,2,7,4,6,0,1,200,1
Plus,999,31,9,2,5,3,0,1,200,1
Basic,699,21,5,6,6,3,1,1,100,1
Ultra,2499,36,6,7,6,5,0,0,1000,1
Plus,999,60,9,1,6,2,1,1,200,1
Basic,699,17,8,3,3,6,0,0,100,1
Premium,1499,23,5,1,7,4,1,0,500,1
Basic,699,28,5,8,1,4,0,1,100,1
Ultra,2499,60,8,4,0,1,1,1,1000,1
Ultra,2499,6,9,6,6,6,1,1,1000,1
Premium,1499,39,8,0,1,4,0,1,500,1
Premium,1499,14,7,1,3,5,0,1,500,1
Plus,999,45,6,0,4,1,0,0,200,1
Premium,1499,25,0,4,2,0,0,0,500,0
Basic,699,40,7,3,0,2,0,0,100,1
Premium,1499,12,2,5,0,4,0,0,500,1
Basic,699,12,2,0,8,4,0,0,100,0
Ultra,2499,10,10,5,5,4,0,0,1000,1
Premium,1499,40,10,1,1,1,1,0,500,1
Basic,699,56,2,1,7,2,1,0,100,0
Premium,1499,27,9,2,1,5,1,0,500,1
Ultra,2499,9,10,3,8,0,0,1,1000,1
Premium,1499,25,9,3,6,6,1,0,500,1
Plus,999,17,0,5,8,0,1,1,200,1
Premium,1499,51,3,7,8,5,1,0,500,1
Premium,1499,17,3,3,1,4,1,1,500,0
Premium,1499,45,0,7,3,1,0,0,500,1
Premium,1499,51,9,8,0,5,1,1,500,1
Plus,999,34,10,7,3,6,0,1,200,1
Premium,1499,54,5,5,5,2,0,0,500,1
Premium,1499,49,3,3,5,1,1,0,500,0
Premium,1499,7,1,8,4,5,1,0,500,1
Premium,1499,1,7,3,2,3,1,1,500,1
Premium,1499,42,2,5,8,6,0,0,500,1
Premium,1499,11,3,4,8,6,1,1,500,0
Premium,1499,6,2,7,8,0,0,0,500,1
Ultra,2499,13,10,5,8,3,1,1,1000,1
Plus,999,12,2,7,6,1,1,1,200,1
Plus,999,7,2,4,3,5,1,0,200,0
Ultra,2499,59,0,3,2,3,1,0,1000,0
Ultra,2499,45,3,3,6,1,0,1,1000,0
Ultra,2499,41,6,8,5,5,1,0,1000,1
Plus,999,30,8,0,1,0,1,0,200,1
Plus,999,30,10,2,7,1,1,0,200,1
Basic,699,6,5,5,7,2,1,0,100,1
Premium,1499,32,4,0,6,2,1,0,500,0
Basic,699,33,10,4,8,2,0,1,100,1
Basic,699,16,6,2,8,4,0,0,100,1
Ultra,2499,47,9,5,1,5,1,0,1000,1
Premium,1499,15,8,1,2,4,0,0,500,1
Plus,999,28,10,4,6,5,1,0,200,1
Basic,699,45,9,0,7,1,0,0,100,1
Basic,699,3,3,8,6,0,0,1,100,1
Ultra,2499,18,2,3,0,4,1,1,1000,0
Premium,1499,50,0,1,7,3,0,1,500,0
Ultra,2499,40,2,2,8,6,0,1,1000,0
Plus,999,15,10,7,8,6,0,1,200,1
Plus,999,47,2,8,3,0,1,0,200,1
Plus,999,5,0,7,0,6,0,1,200,1
Premium,1499,26,3,6,1,5,1,0,500,1
Ultra,2499,16,2,1,2,5,0,1,1000,0
Ultra,2499,60,9,8,8,1,0,1,1000,1
Premium,1499,2,7,5,7,1,0,0,500,1
Premium,1499,24,2,0,5,1,0,0,500,0
Premium,1499,52,3,7,2,3,0,0,500,1
Ultra,2499,15,6,1,5,0,1,1,1000,1
Basic,699,44,5,8,1,0,0,1,100,1
Ultra,2499,49,4,1,3,0,1,1,1000,0
Plus,999,60,3,7,4,5,0,1,200,1
Basic,699,5,2,8,7,6,0,0,100,1
Basic,699,44,9,1,5,2,1,0,100,1
Basic,699,48,9,6,3,1,1,0,100,1
Ultra,2499,46,5,4,5,4,1,0,1000,1
Plus,999,18,6,5,5,4,1,0,200,1
Ultra,2499,28,1,4,5,4,0,0,1000,0
Plus,999,44,3,0,5,3,0,0,200,0
Basic,699,1,1,5,8,3,1,0,100,1
Basic,699,21,4,2,0,5,1,1,100,0
Basic,699,3,5,3,0,6,1,0,100,1
Basic,699,10,3,8,7,5,0,0,100,1
Basic,699,35,3,4,6,5,0,1,100,0
Basic,699,24,0,0,1,6,0,0,100,0
Basic,699,43,5,2,1,6,0,1,100,1
Premium,1499,41,10,7,7,2,0,0,500,1
Plus,999,27,6,4,6,2,0,1,200,1
Premium,1499,50,6,0,1,6,0,0,500,1
Plus,999,49,10,3,7,3,1,0,200,1
Plus,999,37,1,6,7,5,0,1,200,1
Basic,699,13,2,0,2,0,1,0,100,0
Basic,699,35,6,8,3,5,1,0,100,1
Plus,999,7,4,5,0,3,1,1,200,1
Basic,699,51,0,0,2,1,0,1,100,0
Premium,1499,14,5,2,4,2,1,1,500,1
Ultra,2499,3,10,5,0,1,1,0,1000,1
Plus,999,34,8,7,1,1,1,0,200,1
Plus,999,39,1,8,8,1,1,0,200,1
Plus,999,37,1,4,7,3,0,1,200,0
Plus,999,37,1,1,1,3,0,1,200,0
Plus,999,22,8,2,6,4,1,0,200,1
Plus,999,22,8,1,8,0,1,0,200,1
Basic,699,34,5,5,8,3,0,0,100,1
Basic,699,18,3,5,2,6,1,0,100,1
Ultra,2499,12,2,0,7,0,1,1,1000,0
Basic,699,16,1,2,5,0,1,1,100,0
Ultra,2499,56,2,5,6,5,1,1,1000,1
Ultra,2499,54,3,2,6,4,0,0,1000,0
Premium,1499,33,0,8,5,5,1,1,500,1
Basic,699,37,4,5,3,6,0,0,100,1
Plus,999,3,8,6,1,0,0,1,200,1
Premium,1499,56,5,1,3,4,1,1,500,1
Basic,699,48,6,6,2,5,0,0,100,1
Basic,699,38,5,5,3,1,0,1,100,1
Premium,1499,32,10,8,7,2,1,1,500,1
Premium,1499,44,6,7,0,4,0,0,500,1
Plus,999,13,1,6,8,1,0,0,200,1
Premium,1499,52,4,2,0,3,0,0,500,0
Ultra,2499,5,0,1,7,4,0,1,1000,0
Basic,699,34,4,0,4,1,0,1,100,0
Ultra,2499,7,10,1,4,3,1,1,1000,1
Ultra,2499,5,9,6,8,6,1,1,1000,1
Ultra,2499,51,5,7,8,4,0,1,1000,1
Plus,999,49,3,6,1,3,0,0,200,1
Plus,999,56,10,8,2,2,0,1,200,1
Ultra,2499,44,6,6,6,2,0,1,1000,1
Premium,1499,49,0,1,2,5,0,1,500,0
Ultra,2499,49,2,3,2,6,1,0,1000,0
Plus,999,50,10,8,8,5,1,1,200,1
Ultra,2499,13,10,7,6,1,1,0,1000,1
Plus,999,17,10,6,8,2,1,1,200,1
Premium,1499,11,6,5,5,0,0,1,500,1
Plus,999,33,8,7,5,6,0,0,200,1
Premium,1499,44,3,1,0,1,1,0,500,0
Basic,699,25,6,2,3,1,1,0,100,1
Basic,699,60,1,1,0,1,1,1,100,0
Ultra,2499,40,10,7,6,5,1,0,1000,1
Plus,999,14,9,7,8,5,0,1,200,1
Plus,999,43,9,3,6,1,0,1,200,1
Plus,999,49,10,1,5,1,0,1,200,1
Basic,699,14,1,2,3,4,1,1,100,0
Basic,699,46,6,4,4,6,1,0,100,1
Basic,699,46,10,1,8,4,0,0,100,1
Basic,699,60,8,4,8,3,1,1,100,1
Ultra,2499,54,4,4,8,2,0,0,1000,0
Basic,699,11,8,6,6,3,1,0,100,1
Premium,1499,53,6,3,3,3,1,0,500,1
Plus,999,56,4,0,1,5,0,0,200,0
Basic,699,36,8,4,7,1,1,0,100,1
Basic,699,21,9,6,2,3,0,0,100,1
Plus,999,38,4,7,7,4,0,0,200,1
Ultra,2499,24,8,3,0,2,0,0,1000,1
Ultra,2499,15,5,6,4,0,0,0,1000,1
Basic,699,5,8,6,2,4,1,1,100,1
Basic,699,13,5,8,5,5,1,1,100,1
Ultra,2499,28,2,1,3,2,1,0,1000,0
Plus,999,34,8,0,8,2,1,0,200,1
Basic,699,44,6,2,8,1,0,1,100,1
Plus,999,14,7,2,3,3,1,0,200,1
Basic,699,19,4,6,4,5,1,1,100,1
Premium,1499,22,9,8,3,4,0,0,500,1
Basic,699,21,9,7,1,1,1,0,100,1
Premium,1499,31,1,6,1,2,0,1,500,1
Basic,699,10,3,3,0,5,1,0,100,0
Basic,699,60,7,0,7,4,0,0,100,1
Premium,1499,24,3,3,1,5,1,0,500,0
Plus,999,26,10,5,5,0,0,0,200,1
Basic,699,11,3,6,4,0,1,1,100,1
Basic,699,24,2,4,8,0,0,1,100,0
Plus,999,13,1,4,2,5,0,0,200,0
Premium,1499,7,8,6,7,5,1,1,500,1
Ultra,2499,47,1,0,0,2,1,1,1000,0
Basic,699,34,10,5,6,5,1,0,100,1
Premium,1499,2,6,1,3,1,0,1,500,1
Plus,999,51,4,2,6,5,1,1,200,0
Premium,1499,38,0,5,8,4,1,0,500,1
Ultra,2499,37,4,7,8,0,0,0,1000,1
Premium,1499,1,7,4,4,5,0,1,500,1
Basic,699,29,8,2,8,5,1,0,100,1
Premium,1499,19,1,1,7,1,0,1,500,0
Ultra,2499,15,4,6,5,5,0,0,1000,1
Premium,1499,18,5,4,1,5,1,0,500,1
Ultra,2499,23,4,8,0,1,1,1,1000,1
Basic,699,60,6,5,3,0,0,0,100,1
Plus,999,35,1,3,7,2,0,1,200,0
Ultra,2499,19,8,0,2,5,0,0,1000,1
Premium,1499,52,10,5,3,1,1,0,500,1
Ultra,2499,22,3,5,8,3,1,0,1000,1
Basic,699,54,10,0,1,5,0,1,100,1
Basic,699,5,5,8,5,1,0,0,100,1
Basic,699,12,5,6,4,2,0,1,100,1
Plus,999,48,0,0,7,6,0,0,200,0
Basic,699,55,1,3,4,4,1,1,100,0
Basic,699,1,2,4,0,6,0,1,100,0
Ultra,2499,50,3,4,1,1,0,0,1000,0
Premium,1499,46,3,0,7,2,0,0,500,0
Basic,699,16,9,1,8,2,1,1,100,1
Plus,999,18,8,3,2,2,1,1,200,1
Premium,1499,57,6,7,1,6,1,0,500,1
Plus,999,17,2,7,2,4,1,1,200,1
Plus,999,41,1,5,0,0,0,0,200,1
Basic,699,51,4,5,2,1,0,1,100,1
Premium,1499,40,3,1,4,5,1,1,500,0
Ultra,2499,36,7,4,2,1,1,1,1000,1
Premium,1499,40,7,2,0,3,1,1,500,1
Plus,999,8,10,8,5,1,0,1,200,1
Basic,699,39,8,3,4,2,1,1,100,1
Basic,699,46,0,0,7,6,0,1,100,0
Premium,1499,50,3,6,2,3,0,1,500,1
Basic,699,10,5,7,1,3,1,1,100,1
Premium,1499,25,0,6,7,2,1,0,500,1
Basic,699,41,10,0,7,4,0,0,100,1
Plus,999,30,3,5,0,0,1,1,200,1
Plus,999,45,0,4,6,3,1,1,200,0
Basic,699,57,9,5,2,0,0,0,100,1
Premium,1499,12,8,7,6,1,0,1,500,1
Ultra,2499,54,2,2,5,1,0,1,1000,0
Premium,1499,7,8,5,3,6,0,1,500,1
Premium,1499,11,5,0,4,2,1,0,500,1
Premium,1499,58,10,8,3,6,1,1,500,1
Premium,1499,40,8,8,2,4,0,0,500,1
Ultra,2499,42,6,8,0,2,0,0,1000,1
Basic,699,57,9,4,7,1,1,1,100,1
Basic,699,32,0,6,6,2,1,1,100,1
Ultra,2499,18,1,2,0,4,0,0,1000,0
Plus,999,52,2,1,0,4,1,0,200,0
Basic,699,48,8,1,7,4,1,1,100,1
Ultra,2499,9,1,2,6,2,0,0,1000,0
Plus,999,53,1,6,5,2,1,0,200,1
Premium,1499,7,1,8,1,6,0,0,500,1
Plus,999,45,3,5,8,1,0,1,200,1
Basic,699,3,0,4,4,4,0,1,100,0
Premium,1499,54,9,1,3,2,0,0,500,1
Premium,1499,57,1,3,2,0,0,0,500,0
Basic,699,37,4,6,5,3,0,1,100,1
Premium,1499,30,2,2,8,5,0,0,500,0
Ultra,2499,8,10,8,4,1,1,0,1000,1
Plus,999,44,10,7,2,3,1,1,200,1
Plus,999,10,7,8,3,2,0,0,200,1
Ultra,2499,34,1,8,1,5,1,1,1000,1
Ultra,2499,48,10,4,1,2,0,0,1000,1
Premium,1499,29,7,3,5,1,1,0,500,1
Premium,1499,18,3,8,3,6,1,0,500,1
Premium,1499,20,5,1,7,4,0,1,500,1
Ultra,2499,32,6,5,7,6,1,0,1000,1
Basic,699,22,7,5,1,0,1,0,100,1
Premium,1499,5,1,8,3,2,1,1,500,1
Ultra,2499,9,9,1,6,6,0,1,1000,1
Basic,699,41,1,0,1,6,0,0,100,0
Premium,1499,23,9,2,5,2,0,0,500,1
Basic,699,25,4,0,1,1,0,1,100,0
Ultra,2499,60,2,1,7,1,0,1,1000,0
Plus,999,60,4,5,8,3,1,1,200,1
Ultra,2499,43,2,3,5,6,0,0,1000,0
Basic,699,1,9,7,8,3,0,0,100,1
Ultra,2499,33,0,4,0,6,1,1,1000,0
Basic,699,8,3,2,3,3,0,0,100,0
Plus,999,21,7,8,6,5,0,0,200,1
Premium,1499,34,4,2,7,3,1,1,500,0
Ultra,2499,42,5,6,7,1,1,1,1000,1
Basic,699,17,0,0,3,1,0,0,100,0
Premium,1499,20,0,3,0,5,1,1,500,0
Basic,699,49,5,0,7,2,1,1,100,1
Basic,699,46,6,8,0,6,1,0,100,1
Basic,699,14,2,1,4,1,1,1,100,0
Premium,1499,33,0,7,3,1,0,0,500,1
Premium,1499,47,8,3,5,3,1,1,500,1
Plus,999,18,10,4,2,0,0,1,200,1
Ultra,2499,25,3,1,6,6,1,0,1000,0
Basic,699,58,2,4,8,5,0,0,100,0
Plus,999,5,6,4,6,0,1,0,200,1
Plus,999,24,9,2,2,4,1,0,200,1
Plus,999,6,0,6,6,2,0,0,200,1
Ultra,2499,39,0,4,3,6,1,1,1000,0
Basic,699,33,10,6,6,3,0,0,100,1
Plus,999,15,8,4,6,5,1,0,200,1
Premium,1499,52,3,8,6,1,1,1,500,1
Plus,999,4,10,3,3,4,0,0,200,1
Premium,1499,48,5,3,7,5,1,1,500,1
Basic,699,44,8,5,2,5,1,0,100,1
Plus,999,57,8,5,7,1,1,0,200,1
Plus,999,53,6,0,7,5,1,1,200,1
Plus,999,36,4,3,8,6,0,0,200,0
Premium,1499,36,9,6,7,4,1,1,500,1
Plus,999,27,8,4,5,3,1,1,200,1
Basic,699,11,0,0,6,6,0,0,100,0
Basic,699,53,9,8,5,6,0,0,100,1
Premium,1499,28,3,3,4,3,1,0,500,0
Premium,1499,40,3,3,2,5,1,1,500,0
Premium,1499,39,4,2,8,3,1,0,500,0
Plus,999,53,6,6,3,0,0,1,200,1
Premium,1499,13,1,8,7,5,0,1,500,1
Basic,699,25,7,0,4,2,0,1,100,1
Ultra,2499,54,9,7,5,4,1,1,1000,1
Premium,1499,39,0,2,1,4,1,1,500,0
Ultra,2499,30,1,1,4,6,1,1,1000,0
Ultra,2499,34,2,8,8,4,0,0,1000,1
Basic,699,29,9,0,8,4,0,1,100,1
Ultra,2499,13,8,8,0,3,0,1,1000,1
Premium,1499,48,4,7,1,1,0,0,500,1
Basic,699,44,7,7,8,3,0,0,100,1
Basic,699,10,9,1,6,1,1,0,100,1
Basic,699,25,2,0,6,3,0,1,100,0
Plus,999,11,8,5,5,5,1,1,200,1
Premium,1499,10,9,3,1,6,1,0,500,1
Premium,1499,41,9,4,7,2,1,1,500,1
Plus,999,46,0,2,2,5,1,1,200,0
Premium,1499,21,9,5,6,5,0,0,500,1
Plus,999,19,4,4,1,6,0,1,200,0
Plus,999,9,7,8,4,5,0,1,200,1
Basic,699,49,3,3,4,2,1,0,100,0
Premium,1499,53,7,0,8,2,1,0,500,1
Ultra,2499,50,9,3,3,6,0,0,1000,1
Plus,999,17,9,2,8,0,0,1,200,1
Premium,1499,59,8,5,3,3,1,0,500,1
Basic,699,60,9,4,2,2,0,0,100,1
Plus,999,57,6,1,4,0,1,1,200,1
Ultra,2499,12,2,6,5,0,0,1,1000,1
Premium,1499,57,3,1,8,6,1,1,500,0
Premium,1499,9,4,7,2,2,1,0,500,1
Premium,1499,6,7,7,1,4,0,0,500,1
Basic,699,16,7,4,8,3,0,0,100,1
Basic,699,12,0,0,1,1,1,1,100,0
Ultra,2499,45,9,8,0,2,1,0,1000,1
Premium,1499,24,5,8,0,0,0,1,500,1
Plus,999,52,10,4,3,6,1,1,200,1
Premium,1499,1,3,7,7,1,1,0,500,1
Basic,699,17,6,2,0,5,0,1,100,1
Premium,1499,23,7,3,3,5,1,0,500,1
Basic,699,4,10,7,4,1,1,0,100,1
Ultra,2499,56,6,0,1,4,1,0,1000,1
Basic,699,4,5,7,4,3,0,1,100,1
Premium,1499,21,3,2,2,4,0,0,500,0
Premium,1499,52,8,1,4,6,0,0,500,1
Ultra,2499,52,7,6,6,0,0,0,1000,1
Basic,699,42,8,3,1,2,1,0,100,1
Plus,999,48,3,2,7,2,0,0,200,0
Premium,1499,49,6,7,4,3,0,1,500,1
Premium,1499,6,3,7,7,6,0,1,500,1
Plus,999,33,6,1,0,0,0,0,200,1
Premium,1499,56,3,4,5,0,1,0,500,0
Basic,699,60,2,5,2,5,0,0,100,1
Premium,1499,9,1,5,0,3,1,0,500,1
Basic,699,55,10,0,6,5,1,0,100,1
Basic,699,52,1,0,4,6,0,0,100,0
Ultra,2499,22,3,8,6,4,1,0,1000,1
Ultra,2499,51,7,2,3,2,1,1,1000,1
Basic,699,36,6,4,3,2,0,0,100,1
Plus,999,30,1,8,2,2,0,0,200,1
Premium,1499,4,8,2,3,4,1,0,500,1
Basic,699,41,6,7,4,0,0,0,100,1
Basic,699,14,3,5,1,3,1,1,100,1
Basic,699,41,2,4,8,2,1,0,100,0
Ultra,2499,50,0,8,8,3,1,1,1000,1
Premium,1499,28,7,2,1,2,1,1,500,1
Ultra,2499,33,3,7,1,5,1,1,1000,1
Plus,999,43,8,4,0,4,1,0,200,1
Premium,1499,19,8,1,3,3,1,1,500,1
Plus,999,23,3,1,5,4,0,1,200,0
Ultra,2499,36,10,2,6,1,0,0,1000,1
Plus,999,40,4,0,3,5,1,0,200,0
Ultra,2499,30,8,0,3,0,1,0,1000,1
Plus,999,52,2,8,2,5,0,1,200,1
Plus,999,7,1,1,8,3,0,0,200,0
Basic,699,10,2,3,8,0,0,0,100,0
Premium,1499,1,6,7,8,2,0,0,500,1
Ultra,2499,57,4,3,4,0,1,1,1000,0
Premium,1499,9,2,5,5,6,0,1,500,1
Premium,1499,39,9,0,4,3,0,0,500,1
Plus,999,3,2,6,4,1,0,0,200,1
Plus,999,43,7,0,7,3,1,0,200,1
Premium,1499,11,3,4,5,1,1,0,500,0
Ultra,2499,54,2,4,8,1,0,1,1000,0
Basic,699,11,3,0,3,6,0,1,100,0
Ultra,2499,40,3,3,0,4,1,1,1000,0
Premium,1499,33,1,4,0,6,1,0,500,0
Ultra,2499,37,3,8,3,0,1,0,1000,1
Ultra,2499,1,6,0,1,0,0,1,1000,1
Ultra,2499,11,4,2,4,0,0,0,1000,0
Basic,699,11,5,0,6,6,0,1,100,1
Basic,699,58,4,4,7,6,0,0,100,0
Ultra,2499,15,0,3,6,4,1,0,1000,0
Basic,699,23,3,1,5,6,1,0,100,0
Plus,999,48,9,4,7,1,0,0,200,1
Ultra,2499,43,10,8,4,5,1,1,1000,1
Basic,699,35,7,2,8,1,1,1,100,1
Plus,999,19,4,6,1,0,0,0,200,1
Premium,1499,51,5,8,1,5,0,1,500,1
Premium,1499,59,2,7,5,0,0,0,500,1
Basic,699,34,7,4,8,3,1,1,100,1
Plus,999,34,9,3,8,6,0,0,200,1
Basic,699,9,5,3,5,3,1,0,100,1
Ultra,2499,4,6,2,7,6,0,0,1000,1
Basic,699,8,7,0,0,5,1,1,100,1
Basic,699,43,8,4,2,5,1,1,100,1
Premium,1499,39,0,7,4,4,0,1,500,1
Premium,1499,29,4,5,8,3,1,1,500,1
Premium,1499,26,0,0,1,0,0,1,500,0
Plus,999,17,3,8,2,1,1,0,200,1
Basic,699,24,6,5,8,4,1,1,100,1
Premium,1499,7,3,2,1,5,1,0,500,0
Plus,999,49,9,5,0,4,1,0,200,1
Plus,999,31,8,4,4,1,1,0,200,1
Premium,1499,56,10,6,7,0,1,0,500,1
Ultra,2499,2,0,5,5,5,0,0,1000,1
Basic,699,42,9,6,5,6,1,0,100,1
Premium,1499,21,5,0,2,6,1,1,500,1
Basic,699,29,6,1,3,3,0,0,100,1
Plus,999,36,6,6,0,1,0,0,200,1
Ultra,2499,52,3,6,7,6,0,1,1000,1
Premium,1499,8,7,4,4,6,1,1,500,1
Ultra,2499,1,4,1,0,5,0,1,1000,0
Plus,999,11,7,8,7,4,1,1,200,1
Basic,699,58,3,8,6,2,0,0,100,1
Basic,699,60,2,6,4,0,0,1,100,1
Basic,699,18,7,2,1,6,1,1,100,1
Basic,699,45,1,2,5,4,1,0,100,0
Premium,1499,23,3,1,1,5,0,1,500,0
Basic,699,40,10,4,4,2,0,0,100,1
Plus,999,45,10,1,6,5,0,1,200,1
Ultra,2499,29,6,3,8,6,1,0,1000,1
Premium,1499,57,2,7,4,5,0,0,500,1
Plus,999,3,9,8,0,0,1,1,200,1
Basic,699,54,6,1,6,4,1,0,100,1
Premium,1499,21,10,7,7,4,0,0,500,1
Ultra,2499,31,9,5,4,5,0,0,1000,1
Ultra,2499,6,6,6,1,4,1,1,1000,1
Premium,1499,7,10,5,1,1,1,1,500,1
Premium,1499,23,0,2,6,3,1,1,500,0
Plus,999,19,9,1,5,4,1,1,200,1
Plus,999,8,4,5,7,0,0,1,200,1
Plus,999,25,6,6,1,4,0,0,200,1
Premium,1499,44,8,1,1,4,1,1,500,1
Plus,999,45,1,6,2,4,0,1,200,1
Plus,999,14,6,7,8,6,1,0,200,1
Basic,699,58,7,2,3,6,1,0,100,1
Premium,1499,41,5,6,8,4,0,1,500,1
Basic,699,46,8,1,0,3,0,1,100,1
Plus,999,35,1,4,7,1,0,1,200,0
Basic,699,44,7,0,0,0,1,0,100,1
Plus,999,41,2,3,7,6,1,0,200,0
Premium,1499,20,9,2,0,6,0,0,500,1
Premium,1499,34,3,8,5,3,1,0,500,1
Premium,1499,18,2,7,7,1,0,0,500,1
Ultra,2499,9,2,0,4,6,0,1,1000,0
Plus,999,34,3,6,7,3,0,0,200,1
Basic,699,44,9,6,5,3,1,1,100,1
Basic,699,49,3,8,5,5,1,0,100,1
Basic,699,4,3,5,7,1,1,1,100,1
Plus,999,44,7,6,5,5,1,0,200,1
Plus,999,22,8,0,1,3,0,0,200,1
Ultra,2499,53,2,2,4,6,1,1,1000,0
Premium,1499,49,5,3,1,3,0,0,500,1
Plus,999,25,9,3,8,5,0,0,200,1
Premium,1499,12,0,6,1,5,0,1,500,1
Ultra,2499,47,3,8,5,3,0,1,1000,1
Basic,699,14,10,1,0,5,1,1,100,1
Ultra,2499,48,2,8,8,2,1,1,1000,1
Basic,699,25,1,7,1,5,0,1,100,1
Basic,699,48,10,2,4,6,0,1,100,1
Plus,999,5,2,2,0,1,0,1,200,0
Ultra,2499,56,6,4,3,3,0,0,1000,1
Plus,999,32,1,4,0,0,1,0,200,0
Plus,999,25,9,3,3,0,1,0,200,1
Plus,999,11,9,7,4,1,1,1,200,1
Plus,999,49,7,4,7,2,1,0,200,1
Premium,1499,26,7,4,0,0,1,0,500,1
Premium,1499,31,10,6,5,1,0,1,500,1
Premium,1499,29,2,2,1,1,1,1,500,0
Premium,1499,59,1,6,1,6,1,1,500,1
Ultra,2499,33,7,3,1,6,0,0,1000,1
Ultra,2499,50,2,3,4,5,0,1,1000,0
Basic,699,45,4,5,6,1,1,0,100,1
Ultra,2499,34,2,5,6,3,1,0,1000,1
Plus,999,9,0,1,1,6,0,1,200,0
Basic,699,47,1,7,1,4,0,1,100,1
Premium,1499,34,7,6,2,0,1,0,500,1
Premium,1499,23,8,7,3,6,0,1,500,1
Premium,1499,31,10,6,0,5,1,1,500,1
Plus,999,37,10,4,3,1,1,1,200,1
Plus,999,13,2,6,2,2,1,0,200,1
Plus,999,17,7,8,4,3,0,0,200,1
Premium,1499,50,1,3,2,2,0,1,500,0
Basic,699,1,0,6,0,3,0,0,100,1
Basic,699,60,1,8,7,2,0,1,100,1
Ultra,2499,19,4,2,3,2,1,1,1000,0
Plus,999,16,9,2,7,2,1,0,200,1
Premium,1499,34,4,4,7,4,1,0,500,0
Plus,999,50,8,4,4,3,0,1,200,1
Premium,1499,29,3,6,4,4,1,0,500,1
Ultra,2499,12,2,7,6,2,0,1,1000,1
Basic,699,8,4,4,0,5,1,1,100,0
Basic,699,53,2,8,3,4,1,1,100,1
Premium,1499,45,7,4,6,6,0,0,500,1
Basic,699,46,4,3,8,6,0,0,100,0
Basic,699,51,8,6,4,1,0,1,100,1
Basic,699,53,2,1,5,5,0,1,100,0
Premium,1499,54,6,3,1,0,0,1,500,1
Ultra,2499,45,5,3,2,4,1,1,1000,1
Plus,999,53,4,7,3,0,0,0,200,1
Plus,999,57,8,8,5,6,0,0,200,1
Plus,999,27,8,4,5,0,1,1,200,1
